scenario_id,language,normalized_character_edit_rate,total_n
S38,Tamil,0.5740740740740741,300
S38,Spanish,0.65,300
S38,Japanese,0.5833333333333334,300
S38,Arabic,0.5370370370370371,300
S39,Hindi,0.44285714285714284,300
S39,Bengali,0.5303030303030303,300
S39,Tamil,0.3684210526315789,300
S39,Spanish,0.18309859154929578,300
S39,Japanese,0.75,300
S39,Arabic,0.4318181818181818,300
S40,Hindi,0.4117647058823529,300
S40,Bengali,0.41379310344827586,300
S40,Tamil,0.4533333333333333,300
S40,Spanish,0.5641025641025641,300
S40,Japanese,0.7586206896551724,300
S40,Arabic,0.5769230769230769,300
S41,Hindi,0.5700934579439252,300
S41,Bengali,0.3972602739726027,300
S41,Tamil,0.4606741573033708,300
S41,Spanish,0.5473684210526316,300
S41,Japanese,0.6086956521739131,300
S41,Arabic,0.3148148148148148,300
S42,Hindi,0.5061728395061729,300
S42,Bengali,0.36923076923076925,300
S42,Tamil,0.5949367088607594,300
S42,Spanish,0.7341772151898734,300
S42,Japanese,0.6521739130434783,300
S42,Arabic,0.58,300
S43,Hindi,0.4819277108433735,300
S43,Bengali,0.5932203389830508,300
S43,Tamil,0.417910447761194,300
S43,Spanish,0.40298507462686567,300
S43,Japanese,0.47368421052631576,300
S43,Arabic,0.6122448979591837,300
S44,Hindi,0.6571428571428571,300
S44,Bengali,0.7213114754098361,300
S44,Tamil,0.7101449275362319,300
S44,Spanish,0.7142857142857143,300
S44,Japanese,0.43478260869565216,300
S44,Arabic,0.5306122448979592,300
S45,Hindi,0.632183908045977,300
S45,Bengali,0.7638888888888888,300
S45,Tamil,0.6470588235294118,300
S45,Spanish,0.5416666666666666,300
S45,Japanese,0.5416666666666666,300
S45,Arabic,0.46808510638297873,300
S46,Hindi,0.5362318840579711,300
S46,Bengali,0.43333333333333335,300
S46,Tamil,0.5714285714285714,300
S46,Spanish,0.6557377049180327,300
S46,Japanese,0.7142857142857143,300
S46,Arabic,0.4444444444444444,300
S47,Hindi,0.4111111111111111,300
S47,Bengali,0.6724137931034483,300
S47,Tamil,0.6779661016949152,300
S47,Spanish,0.6451612903225806,300
S47,Japanese,0.7619047619047619,300
S47,Arabic,0.675,300
S48,Hindi,0.5,300
S48,Bengali,0.5245901639344263,300
S48,Tamil,0.4,300
S48,Spanish,0.7258064516129032,300
S48,Japanese,0.7,300
S48,Arabic,0.7317073170731707,300
S49,Hindi,0.3010752688172043,300
S49,Bengali,0.6379310344827587,300
S49,Tamil,0.639344262295082,300
S49,Spanish,0.5686274509803921,300
S49,Japanese,0.5555555555555556,300
S49,Arabic,0.4583333333333333,300
S50,Hindi,0.5052631578947369,300
S50,Bengali,0.5,300
S50,Tamil,0.4262295081967213,300
S50,Spanish,0.5797101449275363,300
S50,Japanese,0.5652173913043478,300
S50,Arabic,0.5471698113207547,300
